node,night_flow_ratio,daily_variance,trend,max_increase,coefficient_variation,flow_p50,flow_p95,mean_pressure,pressure_variance,scenario,label
2,0.999985438297772,1.3877787807814457e-17,5.958078296695885e-19,0.0,2.020842136413511e-16,0.06867229,0.06867229,69.73181,0.0,scenario_0001,1
3,0.9999847531155864,0.0,7.88301769205787e-19,0.0,0.0,0.06558617,0.06558617,66.40396,0.0,scenario_0001,1
4,0.999900315173516,0.0,3.171795688334286e-20,0.0,0.0,0.010030617,0.010030617,65.99110000000002,1.4210854715202004e-14,scenario_0001,1
5,0.9999821245763301,0.0,1.57045348336223e-19,0.0,0.0,0.05594173,0.05594173,65.47992,0.0,scenario_0001,1
6,0.9999871048091453,0.0,6.523709980671323e-19,0.0,0.0,0.07754729,0.07754729,64.9449,0.0,scenario_0001,1
7,0.9999904000979958,1.3877787807814457e-17,1.2377583667641013e-18,0.0,1.3322540299010504e-16,0.10416673,0.10416673,64.82110999999999,1.4210854715202004e-14,scenario_0001,1
8,0.9999764372955199,6.938893903907228e-18,7.036510364511285e-19,0.0,1.634991064764974e-16,0.04243895,0.04243895,64.67731000000002,1.4210854715202004e-14,scenario_0001,1
9,0.9999753143672135,6.938893903907228e-18,5.467535427375068e-19,0.0,1.7129098685599234e-16,0.040508393,0.040508393,64.56435999999998,1.4210854715202004e-14,scenario_0001,1
10,0.9999753143672135,6.938893903907228e-18,5.467535427375068e-19,0.0,1.7129098685599234e-16,0.040508393,0.040508393,64.482735,0.0,scenario_0001,1
11,0.9999740809191113,0.0,9.952642248727654e-20,0.0,0.0,0.038580615,0.038580615,64.33728000000002,1.4210854715202004e-14,scenario_0001,1
12,0.9999768583711487,6.938893903907228e-18,3.049040085339444e-19,0.0,1.6057730736288474e-16,0.04321117,0.04321117,64.22944999999999,1.4210854715202004e-14,scenario_0001,1
13,0.9999862129077239,0.0,4.885003066462053e-19,0.0,0.0,0.07253061,0.07253061,63.836969999999994,7.105427357601002e-15,scenario_0001,1
14,0.9999789268884621,6.938893903907228e-18,5.0947685902541925e-20,0.0,1.462240851863513e-16,0.047452837,0.047452837,63.88815699999999,7.105427357601002e-15,scenario_0001,1
15,0.9999537178776037,3.469446951953614e-18,4.020739951792687e-19,0.0,1.6057336847783024e-16,0.021605615,0.021605615,63.844280000000005,7.105427357601002e-15,scenario_0001,1
16,0.9999581948607772,3.469446951953614e-18,2.493982392755246e-19,0.0,1.4504071285260601e-16,0.023919504,0.023919504,63.844227,0.0,scenario_0001,1
17,0.9999850177187949,1.3877787807814457e-17,6.232732391678765e-19,0.0,2.079209194418389e-16,0.06674451,0.06674451,64.495544,0.0,scenario_0001,1
18,0.9999903643824407,1.3877787807814457e-17,3.7317213064361896e-19,0.0,1.337210558846013e-16,0.10378062,0.10378062,65.42985,0.0,scenario_0001,1
19,0.9998928483104965,0.0,8.438034237691224e-20,0.0,0.0,0.009331564,0.009331564,66.06143,0.0,scenario_0001,1
20,0.9999898354997611,1.3877787807814457e-17,1.8437923665753013e-18,0.0,1.410607774888689e-16,0.09838062,0.09838062,65.38827000000002,1.4210854715202004e-14,scenario_0001,1
21,0.9999860645434605,0.0,2.2184256813842605e-19,0.0,0.0,0.0717584,0.0717584,64.51630999999999,1.4210854715202004e-14,scenario_0001,1
22,0.999973278667901,0.0,5.32400125488669e-19,0.0,0.0,0.037422284,0.037422284,64.03461,0.0,scenario_0001,1
23,0.9999875983442004,1.3877787807814457e-17,-1.3064419930402834e-19,0.0,1.7210754765285957e-16,0.080633394,0.080633394,64.83380999999999,1.4210854715202004e-14,scenario_0001,1
24,0.9999841955403608,0.0,4.37153808177519e-19,0.0,0.0,0.06327228,0.06327228,64.37069,0.0,scenario_0001,1
25,0.9999237672807187,0.0,1.5846515969973631e-19,0.0,0.0,0.013116727,0.013116727,64.084946,0.0,scenario_0001,1
26,0.9999856002188766,0.0,6.611690163030463e-19,0.0,0.0,0.0694445,0.0694445,63.78013,0.0,scenario_0001,1
27,0.9999649750306994,3.469446951953614e-18,2.6775369841651365e-19,0.0,1.215172729822856e-16,0.02855006,0.02855006,63.729107,0.0,scenario_0001,1
28,0.999955314925436,3.469446951953614e-18,2.0726959793587513e-19,0.0,1.550324957437964e-16,0.022377837,0.022377837,64.038086,0.0,scenario_0001,1
29,0.9999640013739955,0.0,4.834030361212281e-19,0.0,0.0,0.027777838,0.027777838,63.609802,0.0,scenario_0001,1
30,0.9999640013739955,0.0,4.834030361212281e-19,0.0,0.0,0.027777838,0.027777838,63.528748,0.0,scenario_0001,1
31,0.9998766016641254,0.0,1.6161985550351337e-19,0.0,0.0,0.008102837,0.008102837,63.57466000000001,7.105427357601002e-15,scenario_0001,1
32,0.9999839008145931,0.0,6.24743009906245e-19,0.0,0.0,0.062113944,0.062113944,63.69590000000001,7.105427357601002e-15,scenario_0001,1
1,1.000000647968373,0.0,-7.234020235362834e-18,0.0,-0.0,-1.5432862,-1.5432862,-1.5625000000000003e-06,2.117582368135751e-22,scenario_0001,1
2,0.999985438297772,1.3877787807814457e-17,5.958078296695885e-19,0.0,2.020842136413511e-16,0.06867229,0.06867229,69.73067000000002,1.4210854715202004e-14,scenario_0002,1
3,0.9999847531155864,0.0,7.88301769205787e-19,0.0,0.0,0.06558617,0.06558617,66.387886,0.0,scenario_0002,1
4,0.999900315173516,0.0,3.171795688334286e-20,0.0,0.0,0.010030617,0.010030617,65.966034,0.0,scenario_0002,1
5,0.9999821245763301,0.0,1.57045348336223e-19,0.0,0.0,0.05594173,0.05594173,65.44352,0.0,scenario_0002,1
6,0.9999871048091453,0.0,6.523709980671323e-19,0.0,0.0,0.07754729,0.07754729,64.89538600000002,1.4210854715202004e-14,scenario_0002,1
7,0.9999904000979958,1.3877787807814457e-17,1.2377583667641013e-18,0.0,1.3322540299010504e-16,0.10416673,0.10416673,64.76805000000002,1.4210854715202004e-14,scenario_0002,1
8,0.9999764372955199,6.938893903907228e-18,7.036510364511285e-19,0.0,1.634991064764974e-16,0.04243895,0.04243895,64.61885,0.0,scenario_0002,1
9,0.9999753143672135,6.938893903907228e-18,5.467535427375068e-19,0.0,1.7129098685599234e-16,0.040508393,0.040508393,64.50107,0.0,scenario_0002,1
10,0.9999753143672135,6.938893903907228e-18,5.467535427375068e-19,0.0,1.7129098685599234e-16,0.040508393,0.040508393,64.41541999999998,1.4210854715202004e-14,scenario_0002,1
