,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
1800,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
3600,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
5400,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
7200,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
9000,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
10800,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
12600,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
14400,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
16200,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
18000,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
19800,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
21600,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
23400,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
25200,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
27000,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
28800,1.5480717,1.4793994,0.6032669,0.5932362,0.5372945,0.45026076,0.34609404,0.3036551,0.2631467,0.1543224,0.11574179,0.07253061,0.0683159,0.020863065,-0.00074255164,0.03808693,-0.104831435,-0.20861205,-0.21324266,0.5973037,0.109180674,0.037422284,0.3897424,0.25129458,0.1880223,-0.08456969,-0.015125186,0.013424873,0.057814434,0.035436597,0.007658758,-0.020119078,0.028221915,0.09033587
