,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
1800,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
3600,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
5400,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
7200,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
9000,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
10800,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
12600,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
14400,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
16200,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
18000,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
19800,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
21600,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
23400,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
25200,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
27000,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
28800,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
30600,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
32400,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
34200,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
36000,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
37800,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
39600,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
41400,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
43200,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
45000,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
46800,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
48600,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
50400,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
52200,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
54000,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
55800,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
57600,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
59400,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
61200,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
63000,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
64800,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
66600,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
68400,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
70200,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
72000,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
73800,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
75600,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
77400,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
79200,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
81000,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
82800,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
84600,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
86400,1.5436741,1.4750018,0.5971067,0.587076,0.5311343,0.45358703,0.34942028,0.30698135,0.26647294,0.1543224,0.11574179,0.07253061,0.07164214,0.024189293,-0.0025052272,0.038802497,-0.105547,-0.20932762,-0.21395823,0.5983508,0.109180674,0.037422284,0.3907895,0.25227204,0.18899976,-0.0856168,-0.016172295,0.012377766,0.057884075,0.035506237,0.007728399,-0.02004944,0.028152276,0.09026623
